0,1,2,3,4,5,model/hub/LLM-Research/Llama-3___2-1B_correct,model/hub/LLM-Research/Llama-3___2-1B_choiceA_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceB_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceC_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceD_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceI don't know_probs
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,False,0.5270944,0.12617782,0.02859744,0.317211,0.0009192632
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.10616636,0.18343903,0.24112605,0.46478263,0.0044859257
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.5017627,0.09066667,0.075754836,0.3316449,0.00017097332
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,False,0.40123084,0.2590541,0.10466732,0.2322146,0.0028332144
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,False,0.13599303,0.27045444,0.27257565,0.31867322,0.002303613
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,False,0.11590782,0.3077715,0.24346732,0.33019063,0.002662745
The key factor Thomas Malthus failed to recognize in his population theory was,population is limited by their means of subsistence.,all populations have the potential to increase more than the actual rate of increase.,wars and famine inhibit population's reproductive capacity.,technology's ability to raise the Earth's carrying capacity.,D,True,0.15235363,0.28463405,0.21994816,0.3380113,0.0050528594
Which pair of religions are both universalizing religions?,Islam and Judaism,Judaism and Buddhism,Hinduism and Buddhism,Christianity and Buddhism,D,False,0.40577364,0.12768233,0.13485943,0.3311828,0.0005018184
Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Concentric zone model,Central place model,Urban realms model,Sector model,D,True,0.39823613,0.108024456,0.07482635,0.41734788,0.0015651515
"When a country combines its religion with its government, it is called a",dictatorship.,theocracy.,democracy.,autocracy.,B,False,0.14734413,0.29997775,0.23916313,0.30709153,0.0064234696
What is the chief religion practiced in Europe?,Christianity,Islam,Hinduism,Animism,A,False,0.37642863,0.075290464,0.023877008,0.52261937,0.0017845493
Which group enacted the first effective settlement in the eastern United States?,French,"British (English, Scotch-Irish, Welsh, Scottish)",Russian,Chinese,B,False,0.6975429,0.0826613,0.14394611,0.07125849,0.0045911316
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",future social spending needs of the population.,"the impact of ""baby booms"" on the population.",the impact of wars on the population.,a quick visual depiction of the country's demographics.,B,False,0.15136229,0.27194875,0.2381263,0.33581188,0.0027507227
The Rhine River is an example of which type of boundary?,Geometric,Artificial,Natural,Relict,C,False,0.7096843,0.11405665,0.12526672,0.0494399,0.0015524281
Which type of economic activity is most closely tied to the physical environment?,Primary,Secondary,Tertiary,Quaternary,A,True,0.45747507,0.03500216,0.057259716,0.44687766,0.003385401
The majority of workers in periphery countries are probably employed in which type of activities?,Primary,Secondary,Tertiary,Quaternary,A,True,0.47567314,0.03784432,0.088680804,0.38823313,0.009568543
All of the following are non-basic jobs in the city EXCEPT,city firefighter.,social worker.,dry cleaner.,garment factory worker.,D,False,0.14984234,0.25093868,0.29799706,0.29567802,0.0055439575
Transnational corporations distribute their operations,manufacturing goods where production costs are the highest.,conducting accounting and research services where economical.,based on comparative advantage.,with headquarters located in LDCs.,C,False,0.1404728,0.26243773,0.21252856,0.3759247,0.008636103
Which of the following is LEAST associated with the development of alluvial landscapes?,A deep cover of loose materials,A predominance of gentle slopes,Frequent flooding,Deep dissection and erosion,D,False,0.5685442,0.19802466,0.13088632,0.09957305,0.0029718147
Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,United States,Japan,France,United Kingdom,B,False,0.39937994,0.0636867,0.11805648,0.4185466,0.0003303036
One of the effects of the east–west orientation of the Alpine mountain system and the northern plains of western and central Europe is that it,limits the marine climate of Europe to coastal areas,provides a corridor for communication between southern and northern Europe,enables marine-like climatic conditions to extend eastward into Germany and Poland,effectively prevents population movement between parts of the Mediterranean region,C,False,0.49539542,0.14416829,0.23038027,0.12923162,0.000824415
The largest Hindu temple complex ever constructed is found in,Calcutta.,Bombay.,Cambodia.,Bali.,C,False,0.15611856,0.2826942,0.26349995,0.28714597,0.0105413245
Which term describes the forces that unify and strengthen a country?,Diffusion,Centrifugal,Centripetal,Ethnocentric,C,False,0.45618683,0.19620351,0.1296826,0.21049565,0.0074314047
Which one of the following statements best describes an application of the S-curve?,Graph of the Bantu migration,Graph of the growth of human populations since their first appearance on Earth,The chart showing how cities associate with one another based on their population sizes,A model showing the decrease in population growth for several countries after they industrialize,D,True,0.29458177,0.122799955,0.2789044,0.30156758,0.002146163
Which of the following items is NOT a challenge to the state?,Transnational corporations,EU,World Trade Organization,Good transportation network,D,False,0.4387193,0.16139582,0.1307023,0.2660967,0.0030858542
"National sports teams, flags, national anthems, and national holidays all promote",nationalism.,sectarianism.,political unrest.,functional disputes.,A,False,0.14495675,0.30687347,0.24466087,0.29976475,0.0037441158
"The process whereby immigrants learn the values, language, and customs of their new country is called",assimilation.,acculturation.,adaptation.,amalgamation.,B,False,0.14181696,0.2820367,0.23749873,0.33492687,0.0037207014
"On which of the following can one most accurately depict true geographical distance, true direction, true size, and true shape?",A Mercator projection,A globe,A conic projection,A gnomonic projection,B,False,0.08032717,0.03220254,0.056077402,0.8305145,0.0008785195
Which of the following could be considered a higher-order central place function?,Winn-Dixie grocery store,Mercedes-Benz dealership,Shoe store,Family doctor,B,False,0.51526123,0.15231092,0.17394455,0.1442051,0.014278237
Which geographer viewed the US urban community of the 1920s as a set of concentric rings radiating outward from a central core?,Rostow,Ravenstein,Von Thünen,Burgess,D,False,0.38358307,0.15865685,0.09548137,0.36034295,0.0019357478
"To get to school in the morning, we ALL use this as our guide:",Rand-McNally Road Atlas.,world globe.,road map.,mental map.,D,True,0.13420014,0.26070637,0.26070637,0.32956374,0.014823404
"Of these, the map using the smallest map scale would be the map of",the world.,"Atlanta, Georgia.","Main Street, Small Town, Ohio.",Pennsylvania.,A,False,0.2210523,0.21425125,0.27083895,0.28383678,0.010020664
An earlier boundary formed before meticulous geographic knowledge and mapping was available is known as,an antecedent boundary.,a geometric boundary.,a relict boundary.,a subsequent boundary.,A,False,0.14482233,0.27056375,0.23142545,0.3501355,0.0030530244
Which of the following jobs is in the non-basic employment sector?,Software engineer,F-10 pickup truck assembly-line worker,Oil refinery worker,Parking lot attendant,D,True,0.30416667,0.28351453,0.041812733,0.36689505,0.0036109902
In which of the following regions is subsistence agriculture being replaced by large-scale commercial development?,The Swiss Alps,The Amazon Basin,North Africa,The Alaskan tundra,B,False,0.39793226,0.20009291,0.06969261,0.3298974,0.00238475
A strong movement away from all religions is called,secularism.,heathenism.,sacrilege.,nationalism.,A,False,0.13571021,0.31064376,0.24573945,0.2987432,0.009163327
Regions share all of these characteristics EXCEPT,boundaries.,common features.,relative location.,easily defined.,D,False,0.15006354,0.2803556,0.28925505,0.26751718,0.012808657
Which of the following U.S. main immigration flow associations is NOT correct?,"Pioneer settlement to 1870—Germans, British, Scotch-Irish, Africans",1870–1914—Asians,1870–1914—Eastern and southern Europeans,1965–present—Hispanics,B,False,0.61862606,0.050384745,0.28768784,0.033302285,0.009999159
Which one of the statements below is characteristic of most African cities?,"They have thriving, clean residential areas.",There are jobs for most rural-to-urban migrants.,They have three separate business districts.,They have a well-developed infrastructure.,C,False,0.13171536,0.20400473,0.24800667,0.40571186,0.010561398
Which country faces a serious trade disadvantage due to its location?,Singapore,Italy,Spain,Mongolia,D,True,0.2385341,0.06834116,0.08844004,0.6043779,0.0003067452
"In which zone of Burgess's concentric zone model would one find better houses, single-family homes, and higher-rent apartments?",First,Second,Third,Fourth,C,False,0.3918831,0.14758453,0.13756391,0.31735662,0.0056117903
The theory that every society develops economically according to a five-stage pattern of growth is attributed to,Rostow.,Ravenstein.,von Thünen.,Burgess.,A,False,0.19129996,0.2916976,0.26977617,0.24372247,0.0035037808
Which of the following would NOT be considered a barrier to diffusion of a cultural trait?,Language,Religion,Oceans,Tolerant complaisant citizens,D,False,0.33895072,0.2702351,0.15277706,0.09339074,0.14464642
The process of invasion and succession is a process involving migration and is best described as when,new residents tear down and rebuild housing units.,new residents live peacefully with old residents.,new residents assimilate with old residents completely.,new residents move into areas occupied by older resident groups.,D,True,0.14489305,0.17752668,0.23702924,0.4258644,0.0146865705
Which of the following best illustrates the definition of a functional region?,A map showing Atlanta as a hub for Delta Airlines,An article describing the region referred to as the South,A map showing North Carolina's one hundred counties,An essay explaining the region known as the Bible Belt,A,True,0.36055896,0.10575161,0.18705553,0.34404776,0.0025861117
New stores opening around a large shopping mall reflect which concept?,Gravity concept,Distance decay,Complementarity,Movement bias,D,True,0.26907247,0.22835885,0.15451533,0.34280723,0.005246078
The birth of an urban industrial workforce in Europe contributed to the start of the,First Agricultural Revolution.,Second Agricultural Revolution.,Third Agricultural Revolution.,Fourth Agricultural Revolution.,B,False,0.14141233,0.2443386,0.25606462,0.35274395,0.005440481
Which of the following statements about East Asia's industrial regions is true?,Japan has a rich natural resource base.,China lacks natural resources but has a massive labor force.,China is industrializing rapidly.,Taiwan lacks industrial enterprise and an educated workforce.,C,False,0.17332146,0.19035637,0.23690234,0.39058593,0.008833802
Which of the following statements best describes the United Nations?,The UN operates a worldwide police force.,Member states surrender sovereignty to the UN.,World laws are enforced by the UN.,The UN often practices interventionism in world conflicts.,D,True,0.116949655,0.25345367,0.243744,0.38346314,0.002389582
Which of the following is a formal region?,Dixie,Pennsylvania,The market area of Winn-Dixie,The Pacific Northwest,B,True,0.27437893,0.2786998,0.24213858,0.20231433,0.0024684062
The concentration of production activities and people spatially to benefit everyone is called,the substitution principle.,deglomeration.,agglomeration.,infrastructure.,C,False,0.13177426,0.31365004,0.23675548,0.31365004,0.0041702054
"Which language family contains Italian, Spanish, Portuguese, and Romanian?",European,Slavic,Germanic,Romance,D,False,0.40904444,0.18727419,0.13808733,0.2442516,0.021342468
"Ankara, Turkey and Islamabad, Pakistan are both examples of",desert cities.,forward-thrust capitals.,old colonial capitals.,rival cities.,B,False,0.16614208,0.24746788,0.22182876,0.3572616,0.0072997734
Which of the following is NOT an example of syncretism?,Halloween,Foreign cuisine changed to suit American tastes,Hasidic Judaism,Catholicism in Louisiana,C,False,0.45329568,0.39691895,0.11551,0.030368917,0.0039064866
The theory that whoever controlled the landmass of Europe would rule the world is called the,devolution theory.,domino theory.,heartland theory.,rimland theory.,C,False,0.1329994,0.26244253,0.24654196,0.34767988,0.010336251
Which group represents the Persian (Iranian) variation of Islam and believes in the infallibility and divine right to authority of the Imams descended from Ali?,Sunni,Shiite,Imam,Untouchables,B,False,0.29011244,0.17459273,0.12773477,0.3934508,0.014109257
The multiplier effect is,the addition of non-basic workers to an urban economy that has added more basic workers.,a ratio of urban to rural workers in an economy.,the ratio of city workers to farm workers in an economy.,the addition of rural jobs created by the urban economy.,A,False,0.1694977,0.2604802,0.21763934,0.3505144,0.0018682961
The sacred book of the Hindu is called the,Talmud.,Bible.,Torah.,Veda.,D,True,0.14210804,0.28041625,0.24554066,0.32528853,0.006646482
Which of the following is a distinct characteristic of an East European city?,A central park,Prominent religious buildings,A large central square surrounded by government and administrative buildings,Luxury apartment buildings,C,False,0.3000479,0.07295769,0.24109526,0.3792961,0.0066030785
Which of the following countries is actively trying to preserve the purity of their native language from contamination by English or other languages?,Italy,Russia,Japan,Brazil,C,False,0.22342943,0.14767784,0.15476504,0.4730001,0.0011275342
Which of the following is an example of a bulk-gaining industry?,Steel,Bottled orange juice,Paper,Copper,B,False,0.35537812,0.18727112,0.17319746,0.28333214,0.0008210838
Which of the following is NOT a feature of an export processing zone (EPZ)?,Tariff reductions on exports,Raw materials imported duty-free,Exemption from customs duties,Strict pollution regulations,D,True,0.18609609,0.09579406,0.16944243,0.54696685,0.0017005483
Which of the following characteristics is NOT true of a state?,Independent territory,Internationally recognized,Boundaries,A national language,D,False,0.25368524,0.17031622,0.29198992,0.27861872,0.005389927
"You are planning to move from your hometown to Pittsburgh. Along the way, you stop in Columbus, Ohio to visit a relative and fall in love with the city! You decide to stay and make Columbus your new home. This is an example of",intervening opportunity.,distance decay.,involuntary migration.,push-pull factors.,A,False,0.13799903,0.2578161,0.2921439,0.3061642,0.0058767074
A large node of office and commercial land use outside the central city with more jobs than residents is a(n),suburb.,primate city.,town.,edge city.,D,True,0.15554243,0.29287067,0.22987683,0.31420437,0.007505744
Which crop began the Third Agricultural Revolution?,Rice,Wheat,Barley,Millet,A,True,0.5138919,0.08723236,0.18467093,0.2109008,0.0033040133
Which factor in the last quarter century greatly destabilized Eastern Europe and led to ethnic conflict?,The introduction of new languages,The end of the Cold War,The invasion by the Soviets,The acceptance of many Eastern European countries into the EU,B,False,0.771244,0.073438056,0.056306913,0.0988217,0.00018928618
"If I wanted to ship a small piece of very valuable jewelry to my aunt who lives in Poughkeepsie, which mode of transportation makes the most sense?",Truck,Air,Ship,Railroad,B,False,0.6275152,0.14222252,0.101641856,0.12164937,0.006971064
Which of the following is a functional region?,Dixie,Pennsylvania,The market area of Winn-Dixie,The Pacific Northwest,C,False,0.28455386,0.25908923,0.2631693,0.19104043,0.002147284
Which type of city model contains a distinct residential spine proceeding outward from center city along the main boulevard?,European,Muslim,Sub-Saharan African,Latin American,D,False,0.5905762,0.060331155,0.12672712,0.21557009,0.0067954613
What family do most European languages belong to?,Ural-Altaic,Basque,Indo-European,Phoenician,C,False,0.43338707,0.2015437,0.29324436,0.06243533,0.009389575
"What do the terms apartheid, ethnic cleansing, and integration all have in common?",They all occurred in Nazi Germany during World War I.,They are all forms of residential segregation.,They are all ways to integrate different ethnic populations in neighborhoods.,They are different expressions for the same concept.,B,False,0.12333818,0.15591405,0.23774055,0.47280353,0.010203619
Which one of the statements below correctly describes immigrants living in Europe?,Most find citizenship easy to get in host countries.,Muslims immigrants from North Africa are well integrated in France.,Immigrants to European cities rarely bring their families.,They are usually restricted to certain neighborhoods.,D,True,0.10530516,0.17092715,0.26267695,0.45033306,0.010757599
Which of the following activities are NOT secondary economic activities?,Assembling automotive parts,Sewing shirts,Mining copper,Binding books,C,False,0.40144864,0.05874491,0.018776003,0.51951313,0.0015173337
Johnny and Susie are moving to Scotland to renovate and live in the family castle. What makes their move a migration?,They are crossing another country's borders.,They are not taking anything with them.,They are moving permanently.,They will be gone more than one year.,C,False,0.12587982,0.13610855,0.25828862,0.4750655,0.004657378
Which of the following entities is a state?,Antarctica,American Samoa,Egypt,Marshall Islands,C,False,0.33987263,0.09586547,0.057243887,0.50623876,0.0007791482
What is the most abundant fossil fuel?,Phosphate,Oil,Petroleum,Coal,D,False,0.44450197,0.20996785,0.07724286,0.2592757,0.009011639
A rejection of or indifference to religion in a country is called,polytheism.,animism.,secularism.,monotheism.,C,False,0.14345546,0.2943515,0.24981287,0.30607712,0.0063029933
"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Energy,Labor,Information,Specialization,C,False,0.61272997,0.046880968,0.044040594,0.2740298,0.022318687
A city that is more than twice as large as the next largest city in a country is called a,global city.,world leader city.,megalopolis.,primate city.,D,False,0.18025832,0.28581032,0.24446651,0.28581032,0.0036544784
Every country with a seacoast has an exclusive economic zone (EEZ) under the UN Convention on the Law of the Sea. Which one of the following statements regarding the Law of the Sea and the EEZ is NOT correct?,The EEZ extends up to 200 nautical miles (370 km) from the coastline.,Countries have the right to exploit natural resources in their EEZ.,Countries can exploit resources on the continental shelf extending up to 350 nautical miles (560 km) beyond their EEZ.,A country does not have the right to exploit living resources in its EEZ.,D,True,0.07600773,0.10308177,0.282403,0.5359067,0.0026008415
Which of the following is MOST likely to experience population pressure?,An industrial society with abundant natural resources and large imports of food,A society with a highly mechanized agricultural sector,A non-ecumene,A slash-and-burn agricultural society,D,False,0.5682172,0.05988965,0.09275891,0.27692696,0.0022071952
"Part of the boundary between the United States and Mexico is the Rio Grande, an example of",a water divider.,a watercourse.,an artificial boundary.,a natural boundary.,D,True,0.13075604,0.25600788,0.22948398,0.37835512,0.005396946
"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Destination,Origin point,All locations along the diffusion path,Axis point,B,False,0.28203073,0.0747307,0.4103523,0.23199216,0.0008941424
The distance north and south of the equator is the,global grid system.,Prime Meridian,latitude.,longitude.,C,False,0.16827358,0.29532933,0.2467569,0.28401545,0.005624621
Why are perceptual or vernacular regions so difficult to identify?,Boundaries are constantly being redrawn.,"Physical features, such as rivers, are constantly shifting.",Defining criteria are subjective and differ among researchers.,Antecedent boundaries were drawn before humans were located in the regions.,C,False,0.11508941,0.12251204,0.15246871,0.607755,0.0021748492
Which structure(s) traditionally occupies the center of a historic Asian city?,A central market,High-density housing,A religious building,Government office buildings,C,False,0.37195885,0.040133875,0.109095186,0.47020006,0.008612014
Which description best describes the urban hierarchy model in which the population of a city is inversely proportional to its rank in the hierarchy?,Multiplier effect,Rank-size rule,Central place theory,Burgess's sector model,B,False,0.29402947,0.12256971,0.06664,0.51603776,0.0007231544
Which of the following is a major concern in countries with a large and rapidly aging population?,Immunization,Adequate schools,Daycare facilities,Health care,D,False,0.41441387,0.21838078,0.20355324,0.12540552,0.03824652
Which of the following capital cities is located OUTSIDE the central core area of the country?,"Abuja, Nigeria","Paris, France","London, United Kingdom","Cairo, Egypt",A,False,0.35468724,0.036233585,0.076109566,0.53244865,0.000520898
"Spanish colonial architecture, uneven economic development, and rural-to-urban migration flows are most commonly found in which of the following?",Southeast Asia,Sub-Saharan Africa,North America,Latin America,D,True,0.39313528,0.048443772,0.048443772,0.50875485,0.001222278
The purpose for the creation of NATO was to,defend North America and Western Europe against the threat of communism.,form an economic alliance for trade between Europe and North America.,defend Europe against a second Nazi invasion.,defend northern Europe against Chinese missiles.,A,False,0.14650309,0.25116476,0.2322894,0.36544254,0.0046002427
Which of the following is NOT a key milestone reached by the EU?,The introduction of a common currency used by many EU countries,A customs union,A single market,A common European language,D,False,0.3877172,0.07399712,0.14947829,0.38170618,0.007101288
The use and spread of English in nineteenth-century India is an example of what type of diffusion?,Stimulus,Contagious,Hierarchal,Relocation,C,False,0.25118795,0.09684159,0.08817527,0.5616557,0.0021395094
The theory that most migration occurs over a short distance and in steps is attributed to,Rostow.,Ravenstein.,von Thünen.,Burgess.,B,True,0.17318745,0.3111615,0.25998515,0.25198627,0.0036796294
"The way of life based on breeding and herding of animals that are used as a source of food, shelter, and clothing is called",swidden.,subsistence farming.,pastorialism.,hunting and gathering.,C,False,0.1488158,0.28461766,0.22691698,0.33536157,0.004288059
The European Union (EU) replaced which of the following organizations?,NATO,EEC,UN,ASEAN,B,False,0.5201958,0.25352317,0.12355733,0.10243262,0.0002911036
"The attempt by core countries to stimulate increased agricultural production in the periphery through use of technology, hybrid seed, and fertilizers is called the",First Agricultural Revolution.,Second Agricultural Revolution.,Third Agricultural Revolution.,Green Revolution.,D,True,0.1480768,0.2660458,0.24035238,0.3416096,0.0039154044
Shifting cultivation is most often practiced in,alpine tundra.,tropical forests.,flood plains.,deserts.,B,True,0.15431198,0.31416363,0.26045078,0.2666272,0.0044464297
The migration streams into the United States between 1980 and the present have been primarily composed of emigrants from which of the following regions?,Europe and North Africa,Asia and Latin America,Sub-Saharan Africa and Oceania,Central Europe and Australia,B,False,0.75516045,0.07774954,0.07897393,0.08673589,0.0013802198
Which one of the following North American associations is NOT correct?,Southeast—African Americans,Oklahoma and the Southwest—Native Americans,Quebec and northern Maine—French Americans and French Canadians,Southern prairie provinces—African Americans,D,False,0.32338038,0.19010551,0.20236628,0.27660188,0.007545994
Which of the following countries is NOT a federal state?,Canada,United States,France,People's Republic of China,C,False,0.31777638,0.16486022,0.23615135,0.28043666,0.0007754769
Which of the following world regions is NOT considered one of the world's most densely populated regions?,South Asia,Europe,South America,Northeast United States,C,False,0.5209641,0.13804173,0.23851474,0.1017856,0.0006939103
"Olives, grapes, and chickpeas are staple crops of which type of farming?",Pastoral nomadism,Subsistence,Plantation,Mediterranean,D,False,0.5561393,0.009814977,0.2616774,0.12653893,0.045829363
A person who practices the Hindu religion would be most likely to,visit a shrine built on the shore of a lake.,pray five times a day.,bathe in the Ganges River.,make a pilgrimage to Jerusalem.,C,False,0.15779081,0.23872988,0.22602491,0.37265208,0.004802241
"The language with the largest number of ""speakers"" is",English.,Russian.,Spanish.,Mandarin Chinese.,D,True,0.16085292,0.23772523,0.26109007,0.33004877,0.010282983
Which one of the following statements does NOT correctly describe the Green Revolution?,It changed centuries-old methods of farming.,It was an attempt to feed a growing world population.,"It centered on increased rice, wheat, and maize yields.",It greatly improved crop yields in sub-Saharan Africa.,D,True,0.15340276,0.23945832,0.2609469,0.34300822,0.0031837728
"Historically, the world's major languages have spread by all of the following methods EXCEPT",Sanskrit records.,migration.,trade.,conquest.,A,False,0.16711079,0.25681204,0.25681204,0.31220403,0.007061055
A primate city is,a large city located on the periphery of the country.,the most important city in a country.,when the largest city in a country is more than twice the size of the next largest city.,the largest city in a country.,C,False,0.16573744,0.19991751,0.25871247,0.3705885,0.00504409
"Which of the following factors would be considered a ""pull"" factor for Riva when considering a move from India to the United States?",Abject poverty,Better job and higher wages,India's caste system,Violence in her neighborhood,B,False,0.25807253,0.10927478,0.4156332,0.21562767,0.0013917813
All of the following are reasons major cities attract young people in Latin America EXCEPT,the availability of jobs.,the potential for decent housing.,educational opportunities.,their families live there already.,D,True,0.12147266,0.18235205,0.2802345,0.40773878,0.008201989
"Which language family is most widely spoken in North America and Europe and includes Baltic, Celtic, Germanic, and Greek?",Dravidian,Uralic-Altaic,Sino-Tibetan,Indo-European,D,False,0.6083485,0.25558636,0.10571512,0.027362827,0.0029872153
Which theorist(s) tried to explain the prices of farm products as they relate to patterns of land use?,Rostow,Ravenstein,Von Thünen,Burgess,C,False,0.45176765,0.19279078,0.054805636,0.2986002,0.0020356686
Which of the following is NOT a spread effect in the core-periphery model of development?,Congestion in the core,High cost of labor in the core,High density in the core,More infrastructure in the core,D,True,0.17767902,0.04933968,0.21432179,0.55590844,0.002751125
Which of the following is NOT an important environmental factor influencing a country's agriculture?,Number of frost-free days per year,Availability of sufficient rainfall,Reliability of sufficient rainfall,Amount of fertilizer produced in the country,D,False,0.60869795,0.06882965,0.15755266,0.16382883,0.0010910096
Which of the following countries is situated in the region of tectonic activity known as the Pacific Ring of Fire?,Brazil,Australia,Chile,India,C,False,0.2860887,0.13726684,0.15923233,0.41625658,0.0011555577
"Which one of the following statements is NOT true of the ""core"" countries?",They are technologically advanced.,They are wealthy.,They are powerful.,They are less developed.,D,True,0.15194659,0.22281493,0.26049703,0.35884985,0.0058916085
"If you wanted to find the global distribution of coal, you would use a",reference map.,topographic map.,thematic map.,location map.,C,False,0.17928661,0.29329333,0.24891481,0.27337945,0.0051258598
Which one of the following is NOT a centripetal force in a state?,A high level of confidence in central government,The existence of strong separatist groups,The existence of national transportation networks,The national anthem,B,False,0.5567774,0.10543588,0.22147076,0.11489752,0.0014183713
The cities of Varanasi (Benares) in India and Mecca in Saudi Arabia are alike because both are,capitals of countries formerly colonized by the English,destinations for vast numbers of pilgrims,financial centers for a large fraction of the world's economy,examples of modern urban planning,B,False,0.42125368,0.21684282,0.2656814,0.08360036,0.012621765
China and Vietnam's dispute over the Spratley Islands is,a positional dispute.,a territorial dispute.,a resource dispute.,a functional dispute.,C,False,0.14674771,0.28957152,0.24194606,0.3180321,0.0037025702
Which of the following is NOT used by geographers to determine absolute location?,Longitude,Latitude,Equator,Distance to the nearest city,D,False,0.5682814,0.18163365,0.17467538,0.06578335,0.00962623
Which of the following is a characteristic of a developed country?,Over 50% of workforce engaged in agriculture,Women held in inferior place in society,Main disease related to age and lifestyle,High birth and death rates,C,False,0.3821516,0.21774343,0.21945122,0.16694967,0.013704064
"Mary lives in a neighborhood with stores, offices, and restaurants so close that she does not need to own a car; however, she feels she has very little privacy. This is an example of a(n)",win-win.,trade-off.,infill.,leapfrog development.,B,False,0.15964842,0.2715711,0.24343476,0.31014392,0.015201763
Which of the following items below is an absolute location?,10 miles east of Pittsburgh,Washington,3 degrees south,"479 Elm Street, Muncie, Indiana",D,False,0.1552973,0.065757014,0.39041737,0.3873791,0.001149229
